raceId,season,round,raceName,date,circuitId,circuitName,country,lat,lng,num_drivers,total_points,avg_grid_position,avg_finish_position,grid_variance,finish_variance,points_variance,competitiveness_score,total_points_norm,race_excitement_score,high_interest
2000_1,2000,1,Australian Grand Prix,2000-03-12,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,22,26.0,11.5,11.5,42.166666666666664,42.166666666666664,6.441558441558439,84.33333333333333,0.09523809523809523,84.42857142857143,1
2000_2,2000,2,Brazilian Grand Prix,2000-03-26,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997,22,26.0,9.545454545454545,11.5,41.21212121212121,42.166666666666664,6.441558441558439,83.37878787878788,0.09523809523809523,83.47402597402598,1
2000_3,2000,3,San Marino Grand Prix,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167,22,26.0,11.5,11.5,42.16666666666667,42.166666666666664,6.441558441558439,84.33333333333334,0.09523809523809523,84.42857142857144,1
2000_4,2000,4,British Grand Prix,2000-04-23,silverstone,Silverstone Circuit,UK,52.0786,-1.01694,22,26.0,11.5,11.5,42.16666666666667,42.166666666666664,6.441558441558439,84.33333333333334,0.09523809523809523,84.42857142857144,1
2000_5,2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111,12,26.0,8.166666666666666,6.5,31.060606060606062,13.0,9.969696969696967,44.06060606060606,0.09523809523809523,44.15584415584416,0
2001_1,2001,1,Australian Grand Prix,2001-03-04,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,22,26.0,11.5,11.5,42.166666666666664,42.166666666666664,6.441558441558439,84.33333333333333,0.09523809523809523,84.42857142857143,1
2001_2,2001,2,Malaysian Grand Prix,2001-03-18,sepang,Sepang International Circuit,Malaysia,2.76083,101.738,22,26.0,11.5,11.5,42.166666666666664,42.166666666666664,6.441558441558439,84.33333333333333,0.09523809523809523,84.42857142857143,1
2001_3,2001,3,Brazilian Grand Prix,2001-04-01,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997,22,26.0,11.5,11.5,42.166666666666664,42.166666666666664,6.441558441558439,84.33333333333333,0.09523809523809523,84.42857142857143,1
2001_4,2001,4,San Marino Grand Prix,2001-04-15,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167,22,26.0,11.5,11.5,42.16666666666665,42.166666666666664,6.441558441558439,84.33333333333331,0.09523809523809523,84.42857142857142,1
2001_5,2001,5,Spanish Grand Prix,2001-04-29,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111,12,26.0,8.916666666666666,6.5,27.35606060606061,13.0,9.969696969696967,40.35606060606061,0.09523809523809523,40.451298701298704,0
2002_1,2002,1,Australian Grand Prix,2002-03-03,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,22,26.0,11.5,11.5,42.166666666666664,42.166666666666664,6.441558441558439,84.33333333333333,0.09523809523809523,84.42857142857143,1
2002_2,2002,2,Malaysian Grand Prix,2002-03-17,sepang,Sepang International Circuit,Malaysia,2.76083,101.738,22,26.0,11.5,11.5,42.166666666666664,42.166666666666664,6.441558441558439,84.33333333333333,0.09523809523809523,84.42857142857143,1
2002_3,2002,3,Brazilian Grand Prix,2002-03-31,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997,22,26.0,11.5,11.5,42.166666666666664,42.166666666666664,6.441558441558439,84.33333333333333,0.09523809523809523,84.42857142857143,1
2002_4,2002,4,San Marino Grand Prix,2002-04-14,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167,21,26.0,11.047619047619047,11.0,39.54761904761905,38.5,6.690476190476188,78.04761904761905,0.09523809523809523,78.14285714285715,1
2002_5,2002,5,Spanish Grand Prix,2002-04-28,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111,13,26.0,9.461538461538462,7.0,29.769230769230763,15.166666666666666,9.499999999999998,44.93589743589743,0.09523809523809523,45.031135531135526,0
2003_1,2003,1,Australian Grand Prix,2003-03-09,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968,20,39.0,10.5,10.5,35.0,35.0,9.418421052631578,70.0,0.25,70.25,0
2003_2,2003,2,Malaysian Grand Prix,2003-03-23,sepang,Sepang International Circuit,Malaysia,2.76083,101.738,20,39.0,10.5,10.5,34.999999999999986,35.0,9.418421052631578,69.99999999999999,0.25,70.24999999999999,0
2003_3,2003,3,Brazilian Grand Prix,2003-04-06,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997,20,39.0,10.5,10.5,34.999999999999986,35.0,9.418421052631578,69.99999999999999,0.25,70.24999999999999,0
2003_4,2003,4,San Marino Grand Prix,2003-04-20,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167,20,39.0,10.5,10.5,35.0,35.0,9.418421052631578,70.0,0.25,70.25,0
2003_5,2003,5,Spanish Grand Prix,2003-05-04,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111,20,39.0,10.5,10.5,35.0,35.0,9.418421052631578,70.0,0.25,70.25,0
