raceId,season,round,raceName,date,circuitId,circuitName,country,lat,lng
1950_1,1950,1,British Grand Prix,1950-05-13,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1950_2,1950,2,Monaco Grand Prix,1950-05-21,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1950_3,1950,3,Indianapolis 500,1950-05-30,indianapolis,Indianapolis Motor Speedway,USA,39.795,-86.2347
1950_4,1950,4,Swiss Grand Prix,1950-06-04,bremgarten,Circuit Bremgarten,Switzerland,46.9589,7.40194
1950_5,1950,5,Belgian Grand Prix,1950-06-18,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1950_6,1950,6,French Grand Prix,1950-07-02,reims,Reims-Gueux,France,49.2542,3.93083
1950_7,1950,7,Italian Grand Prix,1950-09-03,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1951_1,1951,1,Swiss Grand Prix,1951-05-27,bremgarten,Circuit Bremgarten,Switzerland,46.9589,7.40194
1951_2,1951,2,Indianapolis 500,1951-05-30,indianapolis,Indianapolis Motor Speedway,USA,39.795,-86.2347
1951_3,1951,3,Belgian Grand Prix,1951-06-17,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1951_4,1951,4,French Grand Prix,1951-07-01,reims,Reims-Gueux,France,49.2542,3.93083
1951_5,1951,5,British Grand Prix,1951-07-14,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1951_6,1951,6,German Grand Prix,1951-07-29,nurburgring,Nürburgring,Germany,50.3356,6.9475
1951_7,1951,7,Italian Grand Prix,1951-09-16,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1951_8,1951,8,Spanish Grand Prix,1951-10-28,pedralbes,Circuit de Pedralbes,Spain,41.3903,2.11667
1952_1,1952,1,Swiss Grand Prix,1952-05-18,bremgarten,Circuit Bremgarten,Switzerland,46.9589,7.40194
1952_2,1952,2,Indianapolis 500,1952-05-30,indianapolis,Indianapolis Motor Speedway,USA,39.795,-86.2347
1952_3,1952,3,Belgian Grand Prix,1952-06-22,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1952_4,1952,4,French Grand Prix,1952-07-06,essarts,Rouen-Les-Essarts,France,49.3306,1.00458
1952_5,1952,5,British Grand Prix,1952-07-19,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1952_6,1952,6,German Grand Prix,1952-08-03,nurburgring,Nürburgring,Germany,50.3356,6.9475
1952_7,1952,7,Dutch Grand Prix,1952-08-17,zandvoort,Circuit Park Zandvoort,Netherlands,52.3888,4.54092
1952_8,1952,8,Italian Grand Prix,1952-09-07,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1953_1,1953,1,Argentine Grand Prix,1953-01-18,galvez,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593
1953_2,1953,2,Indianapolis 500,1953-05-30,indianapolis,Indianapolis Motor Speedway,USA,39.795,-86.2347
1953_3,1953,3,Dutch Grand Prix,1953-06-07,zandvoort,Circuit Park Zandvoort,Netherlands,52.3888,4.54092
1953_4,1953,4,Belgian Grand Prix,1953-06-21,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1953_5,1953,5,French Grand Prix,1953-07-05,reims,Reims-Gueux,France,49.2542,3.93083
1953_6,1953,6,British Grand Prix,1953-07-18,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1953_7,1953,7,German Grand Prix,1953-08-02,nurburgring,Nürburgring,Germany,50.3356,6.9475
