raceId,season,round,driverId,constructorId,grid,positionOrder,points,status
2000_1,2000,1,michael_schumacher,ferrari,3,1,10.0,Finished
2000_1,2000,1,barrichello,ferrari,4,2,6.0,Finished
2000_1,2000,1,ralf_schumacher,williams,11,3,4.0,Finished
2000_1,2000,1,villeneuve,bar,8,4,3.0,Finished
2000_1,2000,1,fisichella,benetton,9,5,2.0,Finished
2000_1,2000,1,zonta,bar,16,6,1.0,Finished
2000_1,2000,1,wurz,benetton,14,7,0.0,Finished
2000_1,2000,1,gene,minardi,18,8,0.0,+1 Lap
2000_1,2000,1,heidfeld,prost,15,9,0.0,+2 Laps
2000_1,2000,1,salo,sauber,10,10,0.0,Disqualified
2000_1,2000,1,button,williams,21,11,0.0,Engine
2000_1,2000,1,diniz,sauber,19,12,0.0,Transmission
2000_1,2000,1,mazzacane,minardi,22,13,0.0,Gearbox
2000_1,2000,1,frentzen,jordan,5,14,0.0,Hydraulics
2000_1,2000,1,trulli,jordan,6,15,0.0,Engine
2000_1,2000,1,alesi,prost,17,16,0.0,Hydraulics
2000_1,2000,1,hakkinen,mclaren,1,17,0.0,Engine
2000_1,2000,1,verstappen,arrows,13,18,0.0,Suspension
2000_1,2000,1,coulthard,mclaren,2,19,0.0,Engine
2000_1,2000,1,rosa,arrows,12,20,0.0,Suspension
2000_1,2000,1,irvine,jaguar,7,21,0.0,Spun off
2000_1,2000,1,herbert,jaguar,20,22,0.0,Clutch
2000_2,2000,2,michael_schumacher,ferrari,3,1,10.0,Finished
2000_2,2000,2,fisichella,benetton,5,2,6.0,Finished
2000_2,2000,2,frentzen,jordan,7,3,4.0,Finished
2000_2,2000,2,trulli,jordan,12,4,3.0,Finished
2000_2,2000,2,ralf_schumacher,williams,11,5,2.0,+1 Lap
2000_2,2000,2,button,williams,9,6,1.0,+1 Lap
2000_2,2000,2,verstappen,arrows,14,7,0.0,+1 Lap
2000_2,2000,2,rosa,arrows,16,8,0.0,+1 Lap
2000_2,2000,2,zonta,bar,8,9,0.0,+2 Laps
2000_2,2000,2,mazzacane,minardi,20,10,0.0,+2 Laps
2000_2,2000,2,coulthard,mclaren,2,11,0.0,Disqualified
2000_2,2000,2,herbert,jaguar,17,12,0.0,Gearbox
2000_2,2000,2,gene,minardi,18,13,0.0,Engine
2000_2,2000,2,hakkinen,mclaren,1,14,0.0,Oil pressure
2000_2,2000,2,barrichello,ferrari,4,15,0.0,Hydraulics
2000_2,2000,2,irvine,jaguar,6,16,0.0,Spun off
2000_2,2000,2,villeneuve,bar,10,17,0.0,Gearbox
2000_2,2000,2,alesi,prost,15,18,0.0,Electrical
2000_2,2000,2,heidfeld,prost,19,19,0.0,Engine
2000_2,2000,2,wurz,benetton,13,20,0.0,Engine
2000_2,2000,2,diniz,sauber,0,21,0.0,Safety concerns
2000_2,2000,2,salo,sauber,0,22,0.0,Safety concerns
2000_3,2000,3,michael_schumacher,ferrari,2,1,10.0,Finished
2000_3,2000,3,hakkinen,mclaren,1,2,6.0,Finished
2000_3,2000,3,coulthard,mclaren,3,3,4.0,Finished
2000_3,2000,3,barrichello,ferrari,4,4,3.0,Finished
2000_3,2000,3,villeneuve,bar,9,5,2.0,+1 Lap
2000_3,2000,3,salo,sauber,12,6,1.0,+1 Lap
2000_3,2000,3,irvine,jaguar,7,7,0.0,+1 Lap
2000_3,2000,3,diniz,sauber,10,8,0.0,+1 Lap
